序号,样本点数据
175,2.099786121
176,2.100176733
177,2.099797797
178,2.100250498
179,2.09991969
180,2.100067378
181,2.099928148
182,2.102501747
183,2.098774645
184,2.099300866
185,2.099226709
186,2.097761217
187,2.096657762
188,2.095853375
189,2.095575312
190,2.095448683
191,2.094133384
192,2.090707819
193,2.089501101
194,2.085313474
195,2.085393719
196,2.084542938
197,2.083568228
198,2.084337385
199,2.085196242
200,2.081987408
201,2.08286511
202,2.080522635
203,2.080597282
204,2.079072144
205,2.077457509
206,2.078476711
207,2.077613369
208,2.07710733
209,2.076730864
210,2.07655724
211,2.076274692
212,2.075707687
213,2.074657078
214,2.076327077
215,2.075668861
216,2.07344975
217,2.059430687
218,2.071254791
219,2.07017675
220,2.069156221
221,2.068049372
222,2.068527307
223,2.070905007
224,2.071930992
225,2.073753146
226,2.075074736
227,2.074763929
228,2.07496783
229,2.075799502
230,2.075849478
231,2.076591976
232,2.075717526
233,2.07571432
234,2.07593374
235,2.074798919
236,2.075476169
237,2.075158895
238,2.075253037
239,2.074759831
240,2.07425051
241,2.077339781
242,2.074041308
243,2.074716309
244,2.073335278
245,2.074480947
246,2.074036635
247,2.073853309
248,2.080208071
249,2.080553503
250,2.076487736
251,2.072137292
252,2.073111899
253,2.072667923
254,2.071395123
255,2.0714834
256,2.073451043
257,2.072863243
258,2.072944722
259,2.071776096
260,2.072587037
261,2.071363695
262,2.072675163
263,2.071853857
264,2.071096518
265,2.070901189
266,2.069984117
267,2.069970165
268,2.068595128
269,2.066157327
270,2.067996111
271,2.063796032
272,2.067271391
273,2.067342655
274,2.067854988
275,2.068763114
276,2.070048057
277,2.070047075
278,2.069096272
279,2.07022915
280,2.070085907
281,2.069902913
282,2.070097252
283,2.069862527
284,2.06994204
285,2.069102011
286,2.069790751
287,2.070977584
288,2.07205151
289,2.071351166
290,2.06908895
291,2.067131997
292,2.068124675
293,2.066916734
294,2.063785575
295,2.067538249
296,2.067280109
297,2.068387411
298,2.067918241
299,2.068276761
300,2.068487028
301,2.068556874
302,2.068280827
303,2.068373477
304,2.066111583
305,2.066520775
306,2.064659427
307,2.064505338
308,2.064619597
309,2.063402584
310,2.064301197
311,2.06107314
312,2.062623085
313,2.061780225
314,2.061209171
315,2.057282922
316,2.056064435
317,2.058891854
318,2.057650054
319,2.043772315
320,2.050951097
321,2.051367108
322,2.051187938
323,2.049807495
324,2.049097452
325,2.048836062
326,2.048403343
327,2.048149083
328,2.048949509
329,2.047397761
330,2.045208834
331,2.0445821
332,2.044134859
333,2.044082228
334,2.043849839
335,2.042592062
336,2.041534581
337,2.041841367
338,2.041649287
339,2.041575752
340,2.04466145
341,2.036342128
342,2.030002491
343,2.034254814
344,2.027637918
345,2.032400875
346,2.022468631
347,2.03321026
348,2.031442048
349,2.02922887
350,2.033950827
351,2.034548983
352,2.033998993
353,2.03342738
354,2.033094367
355,2.032988103
356,2.032174703
357,2.03185332
358,2.032336697
359,2.030617599
360,2.029673683
361,2.029230111
362,2.028762858
363,2.029762376
364,2.027955939
365,2.026972382
366,2.026675415
367,2.02557043
368,2.023383581
369,2.023060584
370,2.02313527
371,2.023321557
372,2.023205765
373,2.023288039
374,2.023414429
375,2.021107619
376,2.02266281
377,2.02178249
378,2.023107326
379,2.021021442
380,2.020860459
381,2.021146089
382,2.02040282
383,2.019455012
384,2.017439459
385,2.020066589
386,2.017225511
387,2.017017331
